Comunidades autónomas	Ocupación	Sexo	Periodo	Total
Total Nacional	Todas las ocupaciones	Ambos sexos	2023	28.049,94
Total Nacional	Todas las ocupaciones	Ambos sexos	2022	26.948,87
Total Nacional	Todas las ocupaciones	Ambos sexos	2021	25.896,82
Total Nacional	Todas las ocupaciones	Ambos sexos	2020	25.165,51
Total Nacional	Todas las ocupaciones	Ambos sexos	2019	24.395,98
Total Nacional	Todas las ocupaciones	Ambos sexos	2018	24.009,12
Total Nacional	Todas las ocupaciones	Ambos sexos	2017	23.646,5
Total Nacional	Todas las ocupaciones	Ambos sexos	2016	23.156,34
Total Nacional	Todas las ocupaciones	Ambos sexos	2015	23.106,3
Total Nacional	Todas las ocupaciones	Ambos sexos	2014	22.858,17
Total Nacional	Todas las ocupaciones	Ambos sexos	2013	22.697,86
Total Nacional	Todas las ocupaciones	Ambos sexos	2012	22.726,44
Total Nacional	Todas las ocupaciones	Ambos sexos	2011	22.899,35
Total Nacional	Todas las ocupaciones	Ambos sexos	2010	22.790,2
Total Nacional	Todas las ocupaciones	Ambos sexos	2009	22.511,47
Total Nacional	Todas las ocupaciones	Ambos sexos	2008	21.883,42
Total Nacional	Todas las ocupaciones	Mujeres	2023	25.591,31
Total Nacional	Todas las ocupaciones	Mujeres	2022	24.359,82
Total Nacional	Todas las ocupaciones	Mujeres	2021	23.175,95
Total Nacional	Todas las ocupaciones	Mujeres	2020	22.467,48
Total Nacional	Todas las ocupaciones	Mujeres	2019	21.682,02
Total Nacional	Todas las ocupaciones	Mujeres	2018	21.011,89
Total Nacional	Todas las ocupaciones	Mujeres	2017	20.607,85
Total Nacional	Todas las ocupaciones	Mujeres	2016	20.131,41
Total Nacional	Todas las ocupaciones	Mujeres	2015	20.051,58
Total Nacional	Todas las ocupaciones	Mujeres	2014	19.744,82
Total Nacional	Todas las ocupaciones	Mujeres	2013	19.514,58
Total Nacional	Todas las ocupaciones	Mujeres	2012	19.537,33
Total Nacional	Todas las ocupaciones	Mujeres	2011	19.767,59
Total Nacional	Todas las ocupaciones	Mujeres	2010	19.735,22
Total Nacional	Todas las ocupaciones	Mujeres	2009	19.502,02
Total Nacional	Todas las ocupaciones	Mujeres	2008	18.910,62
Total Nacional	Todas las ocupaciones	Hombres	2023	30.372,49
Total Nacional	Todas las ocupaciones	Hombres	2022	29.381,84
Total Nacional	Todas las ocupaciones	Hombres	2021	28.388,69
Total Nacional	Todas las ocupaciones	Hombres	2020	27.642,52
Total Nacional	Todas las ocupaciones	Hombres	2019	26.934,38
Total Nacional	Todas las ocupaciones	Hombres	2018	26.738,19
Total Nacional	Todas las ocupaciones	Hombres	2017	26.391,84
Total Nacional	Todas las ocupaciones	Hombres	2016	25.924,43
Total Nacional	Todas las ocupaciones	Hombres	2015	25.992,76
Total Nacional	Todas las ocupaciones	Hombres	2014	25.727,24
Total Nacional	Todas las ocupaciones	Hombres	2013	25.675,17
Total Nacional	Todas las ocupaciones	Hombres	2012	25.682,05
Total Nacional	Todas las ocupaciones	Hombres	2011	25.667,89
Total Nacional	Todas las ocupaciones	Hombres	2010	25.479,74
Total Nacional	Todas las ocupaciones	Hombres	2009	25.001,05
Total Nacional	Todas las ocupaciones	Hombres	2008	24.203,33
Total Nacional	Alta	Ambos sexos	2023	39.277,88
Total Nacional	Alta	Ambos sexos	2022	37.927,12
Total Nacional	Alta	Ambos sexos	2021	36.807,7
Total Nacional	Alta	Ambos sexos	2020	35.430,92
Total Nacional	Alta	Ambos sexos	2019	33.980,46
Total Nacional	Alta	Ambos sexos	2018	33.932,55
Total Nacional	Alta	Ambos sexos	2017	33.345,81
Total Nacional	Alta	Ambos sexos	2016	32.775,58
Total Nacional	Alta	Ambos sexos	2015	32.571,38
Total Nacional	Alta	Ambos sexos	2014	32.306,44
Total Nacional	Alta	Ambos sexos	2013	32.543,02
Total Nacional	Alta	Ambos sexos	2012	32.312,85
Total Nacional	Alta	Ambos sexos	2011	32.343,67
Total Nacional	Alta	Ambos sexos	2010	32.472,98
Total Nacional	Alta	Ambos sexos	2009	31.886,96
Total Nacional	Alta	Ambos sexos	2008	30.883,89
Total Nacional	Alta	Mujeres	2023	36.601,66
Total Nacional	Alta	Mujeres	2022	35.002,75
Total Nacional	Alta	Mujeres	2021	33.753,29
Total Nacional	Alta	Mujeres	2020	32.374,35
Total Nacional	Alta	Mujeres	2019	31.042,04
Total Nacional	Alta	Mujeres	2018	30.677,18
Total Nacional	Alta	Mujeres	2017	29.864,15
Total Nacional	Alta	Mujeres	2016	29.285,12
Total Nacional	Alta	Mujeres	2015	29.140,87
Total Nacional	Alta	Mujeres	2014	28.607,49
Total Nacional	Alta	Mujeres	2013	28.802,98
Total Nacional	Alta	Mujeres	2012	28.512,97
Total Nacional	Alta	Mujeres	2011	28.589,89
Total Nacional	Alta	Mujeres	2010	28.760,52
Total Nacional	Alta	Mujeres	2009	28.166,98
Total Nacional	Alta	Mujeres	2008	27.200
Total Nacional	Alta	Hombres	2023	42.291,86
Total Nacional	Alta	Hombres	2022	41.102,65
Total Nacional	Alta	Hombres	2021	39.988,28
Total Nacional	Alta	Hombres	2020	38.624,53
Total Nacional	Alta	Hombres	2019	37.043,89
Total Nacional	Alta	Hombres	2018	37.266,55
Total Nacional	Alta	Hombres	2017	36.770,61
Total Nacional	Alta	Hombres	2016	36.233,27
Total Nacional	Alta	Hombres	2015	36.064,11
Total Nacional	Alta	Hombres	2014	36.181,79
Total Nacional	Alta	Hombres	2013	36.093,51
Total Nacional	Alta	Hombres	2012	35.909,03
Total Nacional	Alta	Hombres	2011	35.776,39
Total Nacional	Alta	Hombres	2010	36.041,74
Total Nacional	Alta	Hombres	2009	35.326,03
