Nr de la promoción,Año de comienzo,Año de fin,Tipo,Modalidad,Nombre,Nombre de la mujer referente
1,2016,2017,PW,Full-time,Ada,Ada Lovelace
2,2017,2017,PW,Full-time,Borg,Anita Borg
3,2017,2018,PW,Full-time,Clarke,Joan Clarke
4,2018,2018,PW,Full-time,Dorcas,Dorcas Muthoni
5,2018,2019,PW,Full-time,Easley,Annie Easley
6,2019,2019,PW,Full-time,Fairfax,Mary Fairfax
7,2019,2019,PW,Full-time,Grace,Grace Hopper
8,2019,2020,PW,Full-time,Hamilton,Margaret Hamilton
9,2020,2020,PW,Full-time,Idelisa,Idelisa Bonnelly
10,2020,2020,PW,Full-time,Jemison,Mae Jemison
11,2020,2020,PW,Full-time,Kizzy,Kizzy Colbert
12,2020,2021,PW,Full-time,Lee,Lee Woods
13,2021,2021,PW,Full-time,Mileva,Mileva Maric
14,2021,2021,PW,Full-time,Nerea,Nerea Luis
15,2021,2022,PW,Full-time,Olguin,Irma Olguin
16,2022,2022,PW,Full-time,Paz,Paz Gimeno
17,2022,2022,DA,Full-time,Armada,Elena Armada
18,2022,2022,PW,Full-time,Quirós,Jimena Quirós
19,2022,2022,DA,Full-time,Bouman,Katie Bouman
20,2022,2022,PW,Full-time,Radia,Radia Perlman
21,2022,2023,DA,Full-time,Carol,Carol Shaw
22,2023,2023,PW,Full-time,Salas,Margarita Salas
23,2023,2023,DA,Full-time,Dorothy,Dorothy Vaughan
24,2023,2023,PW,Full-time,Trotula,Trótula de Salerno
25,2023,2023,DA,Full-time,Evelyn,Evelyn Berezin
26,2023,2023,PW,Full-time,Ursula,Ursula Martin
27,2023,2024,DA,Full-time,Farzana,Farzana Noorzay
28,2023,2024,PW,Part-time,Alice,Alice Augusta Ball
29,2023,2024,PW,Full-time,Valentina,Valentina Tereshkova
30,2024,2024,PW,Full-time,Woods,Mary Lee Woods
31,2024,2024,DA,Full-time,Germain,Sophie Germain
32,2024,2024,DA,Part-time,Angela,Ángela Ruiz Robles
33,2024,2024,PW,Full-time,Xia,Xia Peisu
34,2024,2024,DA,Full-time,Hedy,Hedy Lamarr
35,2024,2024,PW,Part-time,Betty,Betty Snyder Holberton
36,2024,2024,DA,Part-time,Blasco,Maria Blasco
37,2024,2024,PW,Full-time,Yallow,Rosalín Yalow
38,2024,2024,DA,Full-time,Ines,Inés Vazquez
39,2024,2024,PW,Full-time,Zeynep,Zeynep Tufekci
40,2024,2024,DA,Full-time,Julia,Julia Robinson
41,2024,2024,DA,Full-time,Kimberly,Kimberly Bryant
42,2024,2024,PW,Full-time,Alaina,Alaina Percival
43,2024,2025,DA,Part-time,Carmen,Carmen Magallon
44,2024,2025,PW,Part-time,Clara,Clara Grima
45,2024,2025,DA,Part-time,Daphne,Daphne Koller
46,2024,2025,PW,Full-time,Brenda,Brenda Milner
47,2024,2025,DA,Full-time,Laura,Laura Bassi
48,2025,2025,PW,Full-time,Sara,Sara García Alonso
49,2025,2025,DA,Full-time,Mary,Mary Jackson
50,2025,2025,DA,Part-time,Katherine,Katherine Johnson
51,2025,2025,PW,Part-time,Hack,Margherita Hack
52,2025,2025,DA,Full-time,Julia,Júlia Salander
53,2025,2025,PW,Full-time,Yo,Futura Yo
54,2025,2025,DA,Part-time,Paola,Paola Villareal
55,2025,2025,PW,Part-time,Reshma,Reshma Saujani
56,2025,2025,DA,Full-time,Hildegarda,Hildegarda de Bingen
57,2025,2025,DA,Full-time,Joy,Joy Buolamwini
58,2025,2025,PW,Full-time,Rosies,Top Secret Rosies
59,2025,2025,DA,Part-time,Conchita,Conchita Díaz
60,2025,2026,DA,Full-time,Nuria,Nuria Oliver
61,2025,2026,PW,Part-time,Khalia,Khalia Braswell
